SOURCE: ISic001661-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.472185e+02  4.96e+01  0.007983  
P  K  8.168099e-02  8.16e+01  7.733e-07  
S  K  4.560064e+03  1.07e+02  0.0134  
Cl  K  2.105255e+03  2.18e+02  0.003144  
Ar  K  1.367167e+03  2.32e+02  0.001219  
K  K  1.086129e+03  1.10e+02  0.0004937  
Ca  K  7.068240e+05  8.60e+02  0.3022  
Sc  K  5.808577e+02  2.27e+02  0.0004723  
Ti  K  1.777982e+03  9.38e+01  0.001012  
V  K  1.252054e-01  7.65e+01  5.636e-08  
Cr  K  7.065794e+03  1.21e+02  0.002355  
Mn  K  5.040855e+02  9.27e+01  0.0001418  
Fe  K  3.659019e+04  2.24e+02  0.008607  
Co  K  5.745710e+02  1.00e+02  0.0001204  
Ni  K  4.014869e+02  1.24e+02  7.376e-05  
Cu  K  1.630790e+02  7.93e+01  2.861e-05  
Zn  K  6.995194e+02  8.25e+01  0.0001209  
As  K  2.564725e+02  7.48e+01  4.869e-05  
Rb  K  7.126238e+01  4.52e+01  3.035e-05  
Sr  K  1.102581e+02  3.56e+01  6.622e-05  
Y  K  2.863273e-02  1.07e+01  3.022e-08  
Zr  K  4.553594e+04  1.35e+05  0.08951  
Rh  L  6.256685e+04  4.90e+02  0.1215  
Pd  L  2.296780e+01  4.65e+02  3.204e-05  

SOURCE: ISic001661-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.510050e+02  4.66e+01  0.008255  
P  K  4.655982e-01  6.83e+01  4.533e-06  
S  K  4.389741e+03  1.01e+02  0.01299  
Cl  K  2.046801e+03  2.15e+02  0.003075  
Ar  K  1.407468e+03  2.30e+02  0.001262  
K  K  1.973454e+03  1.09e+02  0.0009021  
Ca  K  4.242282e+05  6.71e+02  0.179  
Sc  K  5.983891e+02  1.91e+02  0.0004662  
Ti  K  2.680551e+03  9.94e+01  0.001463  
V  K  4.366582e+00  7.86e+01  1.886e-06  
Cr  K  7.151415e+03  1.22e+02  0.002295  
Mn  K  8.590550e+02  9.53e+01  0.0002347  
Fe  K  4.611838e+04  2.47e+02  0.01058  
Co  K  5.207846e+02  9.98e+01  0.0001069  
Ni  K  3.670341e+02  1.13e+02  6.763e-05  
Cu  K  2.424081e+02  7.59e+01  4.268e-05  
Zn  K  6.681953e+02  7.89e+01  0.000116  
As  K  3.715295e+02  6.95e+01  7.091e-05  
Rb  K  1.419324e+02  4.34e+01  6.083e-05  
Sr  K  4.945302e+01  2.89e+01  2.99e-05  
Y  K  4.501688e-02  1.03e+01  4.785e-08  
Zr  K  1.973770e+03  1.15e+05  0.003908  
Rh  L  6.428049e+04  4.90e+02  0.1255  
Pd  L  5.015654e+01  4.57e+02  7.034e-05  

SOURCE: ISic001661-MK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  3.989375e+02  5.13e+01  0.02203  
P  K  5.570366e+02  7.60e+01  0.005759  
S  K  4.502323e+03  1.05e+02  0.01453  
Cl  K  1.719329e+03  2.12e+02  0.002811  
Ar  K  2.347031e+03  2.30e+02  0.002278  
K  K  3.996472e+03  1.25e+02  0.001967  
Ca  K  5.860283e+05  7.85e+02  0.2527  
Sc  K  2.046366e+02  2.13e+02  0.0001531  
Ti  K  3.575299e+03  1.07e+02  0.001873  
V  K  1.876207e+02  8.15e+01  7.771e-05  
Cr  K  7.214043e+03  1.23e+02  0.002218  
Mn  K  1.127487e+03  9.91e+01  0.0002946  
Fe  K  6.630673e+04  2.88e+02  0.01454  
Co  K  6.391309e+02  1.09e+02  0.0001253  
Ni  K  4.373750e+02  1.20e+02  7.676e-05  
Cu  K  3.370931e+02  8.18e+01  5.651e-05  
Zn  K  7.212015e+02  8.41e+01  0.0001191  
As  K  3.841192e+02  7.53e+01  6.972e-05  
Rb  K  1.442396e+02  4.54e+01  5.875e-05  
Sr  K  2.591883e+01  3.31e+01  1.489e-05  
Y  K  3.181146e+01  1.09e+01  3.213e-05  
